epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,455.198,0.79467,1.68687,1.45892,0.71754,0.75024,0.7436,0.48018,1.0907,1.4371,1.79602,0.000554165,0.000554165,0.000554165
2,907.249,0.75737,1.07685,1.41015,0.55858,0.60851,0.5051,0.26432,1.28018,1.98737,1.95172,0.00105489,0.00105489,0.00105489
3,1358.94,0.7491,0.97756,1.39784,0.55233,0.57486,0.51359,0.3249,1.19561,1.89852,2.00518,0.00150061,0.00150061,0.00150061
4,1810.59,0.71109,0.91744,1.37124,0.65436,0.65309,0.66514,0.40843,1.16638,1.37503,1.74225,0.00141945,0.00141945,0.00141945
5,2262.08,0.67739,0.85946,1.3478,0.73636,0.70964,0.76907,0.53127,0.98132,1.10784,1.54101,0.00133693,0.00133693,0.00133693
6,2713.69,0.65259,0.82774,1.32553,0.71279,0.76276,0.76828,0.55535,0.89926,1.10928,1.49562,0.00125442,0.00125442,0.00125442
7,3164.8,0.63257,0.79171,1.31234,0.74025,0.67605,0.72239,0.47106,1.20837,1.29721,2.00803,0.0011719,0.0011719,0.0011719
8,3615.98,0.61617,0.765,1.29844,0.83043,0.83802,0.8658,0.65503,0.81531,0.79915,1.359,0.00108938,0.00108938,0.00108938
9,4067.06,0.60477,0.75072,1.28962,0.84506,0.83295,0.87186,0.67447,0.80147,0.79082,1.37204,0.00100687,0.00100687,0.00100687
10,4517.85,0.58994,0.72941,1.27918,0.69724,0.67895,0.72018,0.48566,1.07265,1.14351,1.82537,0.000924352,0.000924352,0.000924352
11,4968.15,0.61351,0.59337,1.4271,0.86695,0.852,0.90377,0.7137,0.73263,0.69266,1.29729,0.000841835,0.000841835,0.000841835
12,5417,0.58927,0.55686,1.40218,0.8873,0.84291,0.90013,0.72896,0.73378,0.69372,1.27866,0.000759318,0.000759318,0.000759318
13,5865.26,0.57279,0.53113,1.38638,0.901,0.85991,0.92002,0.75768,0.66408,0.62711,1.19963,0.000676802,0.000676802,0.000676802
14,6314.16,0.55595,0.50277,1.36386,0.90916,0.85836,0.92325,0.75997,0.68541,0.60952,1.19824,0.000594286,0.000594286,0.000594286
15,6762.79,0.53321,0.48067,1.345,0.89479,0.83855,0.92229,0.74743,0.66108,0.63465,1.16856,0.000511769,0.000511769,0.000511769
16,7211.54,0.52866,0.45723,1.33771,0.90827,0.87143,0.93416,0.78889,0.61927,0.5579,1.13899,0.000429253,0.000429253,0.000429253
17,7660.2,0.51024,0.44598,1.32022,0.9002,0.87292,0.93517,0.78302,0.61229,0.55933,1.1307,0.000346736,0.000346736,0.000346736
18,8109,0.49664,0.42651,1.30585,0.9228,0.87428,0.94137,0.7993,0.57954,0.53262,1.08789,0.00026422,0.00026422,0.00026422
19,8557.18,0.48114,0.40841,1.28997,0.91429,0.87494,0.93842,0.8006,0.56789,0.54779,1.07796,0.000181703,0.000181703,0.000181703
20,9005.7,0.47009,0.39401,1.27905,0.92801,0.87496,0.94497,0.80903,0.57597,0.52524,1.089,9.91865e-05,9.91865e-05,9.91865e-05
